station_uid,station_num,routes,direction,station,lat,lon,station_uid2,station_num2,station2,lat2,lon2,distance_km
25_0_8,25,8,0,ตลาดสะพาน 2,13.796377,100.590688,26_0_8,26,โรงเรียนพิบูลย์อุปถัมภ์,13.797881,100.588017,0.3334086202980686
26_0_8,26,8,0,โรงเรียนพิบูลย์อุปถัมภ์,13.797881,100.588017,27_0_8,27,แยกภาวนา (ลาดพร้าว41),13.800297,100.583752,0.5331842965796878
27_0_8,27,8,0,แยกภาวนา (ลาดพร้าว41),13.800297,100.583752,28_0_8,28,ลาดพร้าว 42,13.801944,100.580756,0.3717608174932942
28_0_8,28,8,0,ลาดพร้าว 42,13.801944,100.580756,29_0_8,29,ลาดพร้าว 34 (หมู่บ้านกลางเมือง),13.803917,100.577229,0.4395276073778473
29_0_8,29,8,0,ลาดพร้าว 34 (หมู่บ้านกลางเมือง),13.803917,100.577229,30_0_8,30,แยกรัชดา-ลาดพร้าว (ใต้ดินทางออก1),13.806129,100.573254,0.49470996315797483
30_0_8,30,8,0,แยกรัชดา-ลาดพร้าว (ใต้ดินทางออก1),13.806129,100.573254,31_0_8,31,"ลาดพร้าว 22 (ใต้ดินทางออก2,3)",13.807435,100.570916,0.291249224155503
31_0_8,31,8,0,"ลาดพร้าว 22 (ใต้ดินทางออก2,3)",13.807435,100.570916,32_0_8,32,บิ๊กซีเอ็กซ์ตร้าลาดพร้าว (โรงเรียนปานะพันธ์),13.809256,100.567675,0.40432392070483514
32_0_8,32,8,0,บิ๊กซีเอ็กซ์ตร้าลาดพร้าว (โรงเรียนปานะพันธ์),13.809256,100.567675,33_0_8,33,บ้านพร้อมพันธ์,13.810076,100.566195,0.18399313006595563
33_0_8,33,8,0,บ้านพร้อมพันธ์,13.810076,100.566195,34_0_8,34,ยูเนี่ยนมอลล์,13.811044,100.564461,0.21597146837742948
34_0_8,34,8,0,ยูเนี่ยนมอลล์,13.811044,100.564461,35_0_8,35,ตรงข้ามยูเนี่ยนมอลล์,13.811928,100.562863,0.19858577248776194
35_0_8,35,8,0,ตรงข้ามยูเนี่ยนมอลล์,13.811928,100.562863,36_0_8,36,ห้าแยกลาดพร้าว ปากทางลาดพร้าว,13.812964,100.561054,0.22677357372631166
36_0_8,36,8,0,ห้าแยกลาดพร้าว ปากทางลาดพร้าว,13.812964,100.561054,37_0_8,37,ธนาคารทหารไทย,13.808641,100.55753,0.613078702025623
37_0_8,37,8,0,ธนาคารทหารไทย,13.808641,100.55753,38_0_8,38,BTS หมอชิต,13.802318,100.553783,0.8111962506586586
38_0_8,38,8,0,BTS หมอชิต,13.802318,100.553783,39_0_8,39,ขนส่งหมอชิต สถาบันการบินพลเรือน,13.800203,100.552559,0.2697741590426697
39_0_8,39,8,0,ขนส่งหมอชิต สถาบันการบินพลเรือน,13.800203,100.552559,40_0_8,40,แยกกำแพงเพชร,13.797099,100.551049,0.3817276203661064
40_0_8,40,8,0,แยกกำแพงเพชร,13.797099,100.551049,41_0_8,41,วัดไผ่ตัน,13.794587,100.550102,0.2974533147477317
41_0_8,41,8,0,วัดไผ่ตัน,13.794587,100.550102,42_0_8,42,บิ้กซีสะพานควาย ทางออก2,13.793023,100.549542,0.18412309986776582
42_0_8,42,8,0,บิ้กซีสะพานควาย ทางออก2,13.793023,100.549542,43_0_8,43,สถานีตำรวจนครบาลบางซื่อ,13.78629,100.547134,0.7925501027699493
43_0_8,43,8,0,สถานีตำรวจนครบาลบางซื่อ,13.78629,100.547134,44_0_8,44,ซอยสายลม กองบัญชาการตำรวจตระเวนชายแดน,13.783952,100.546282,0.2757753590133586
44_0_8,44,8,0,ซอยสายลม กองบัญชาการตำรวจตระเวนชายแดน,13.783952,100.546282,45_0_8,45,ซอยอารีย์,13.779789,100.544813,0.48933426984601364
45_0_8,45,8,0,ซอยอารีย์,13.779789,100.544813,46_0_8,46,ซอยราชครู,13.77664,100.543626,0.3728803813876178
46_0_8,46,8,0,ซอยราชครู,13.77664,100.543626,47_0_8,47,ซอยพหลโยธิน 2,13.774597,100.542861,0.24172792511957378
47_0_8,47,8,0,ซอยพหลโยธิน 2,13.774597,100.542861,48_0_8,48,สนามเป้า,13.772921,100.542315,0.19546894556526243
48_0_8,48,8,0,สนามเป้า,13.772921,100.542315,49_0_8,49,"ททบ.5,โรงพยาบาลพญาไท 2",13.769785,100.541158,0.3704191256952507
49_0_8,49,8,0,"ททบ.5,โรงพยาบาลพญาไท 2",13.769785,100.541158,50_0_8,50,ซอยลือชา,13.767323,100.539782,0.31149609433941966
50_0_8,50,8,0,ซอยลือชา,13.767323,100.539782,51_0_8,51,อนุสาวรีย์ชัยสมรภูมิ,13.764596,100.537482,0.39198367500532655
51_0_8,51,8,0,อนุสาวรีย์ชัยสมรภูมิ,13.764596,100.537482,52_0_8,52,โรงพยาบาลเด็ก,13.766234,100.535112,0.3141511810669393
52_0_8,52,8,0,โรงพยาบาลเด็ก,13.766234,100.535112,53_0_8,53,โรงพยาบาลพระมงกุฎเกล้า,13.76772,100.531802,0.3938221635025507
53_0_8,53,8,0,โรงพยาบาลพระมงกุฎเกล้า,13.76772,100.531802,54_0_8,54,โรงพยาบาลรามาธิบดี,13.766799,100.527941,0.42938096761762307
